"","participant","cue","response","response_order","condition"
"526","MM_003","daddy","dad",1,"cl"
"527","MM_003","daddy","father",2,"cl"
"528","MM_003","daddy","person",3,"cl"
"529","MM_003","kitchen","food",1,"cl"
"530","MM_003","kitchen","appliance",2,"cl"
"531","MM_003","kitchen","house",3,"cl"
"532","MM_003","fine","good",1,"cl"
"533","MM_003","fine","like",2,"cl"
"534","MM_003","fine","okay",3,"cl"
"535","MM_003","bench","seat",1,"cl"
"536","MM_003","bench","park",2,"cl"
"537","MM_003","bench","chair",3,"cl"
"538","MM_003","glasses","see",1,"cl"
"539","MM_003","glasses","face",2,"cl"
"540","MM_003","glasses","acessory",3,"cl"
"541","MM_004","turn","around",1,"cl"
"542","MM_004","turn","ballerina",2,"cl"
"543","MM_004","turn","off",3,"cl"
"544","MM_004","shopping","mall",1,"cl"
"545","MM_004","shopping","money",2,"cl"
"546","MM_004","shopping","bags",3,"cl"
"547","MM_004","medicine","cabinet",1,"cl"
"548","MM_004","medicine","pill",2,"cl"
"549","MM_004","medicine","fix",3,"cl"
"550","MM_004","show","me",1,"cl"
"551","MM_004","show","television",2,"cl"
"552","MM_004","show","down",3,"cl"
"553","MM_004","little","small",1,"cl"
"554","MM_004","little","pocito",2,"cl"
"555","MM_004","little","baby",3,"cl"
"556","MM_004","yogurt","lebna",1,"cl"
"557","MM_004","yogurt","breakfast",2,"cl"
"558","MM_004","yogurt","greek",3,"cl"
"559","MM_004","wind","speed",1,"cl"
"560","MM_004","wind","hurricane",2,"cl"
"561","MM_004","wind","cool",3,"cl"
"562","MM_004","mine","car",1,"cl"
"563","MM_004","mine","apartment",2,"cl"
"564","MM_004","mine","hands",3,"cl"
"565","MM_004","more","mas",1,"cl"
"566","MM_004","more","food",2,"cl"
"567","MM_004","more","time",3,"cl"
"568","MM_004","feed","me",1,"cl"
"569","MM_004","feed","restaurant",2,"cl"
"570","MM_004","feed","animals",3,"cl"
"571","MM_004","stand","up",1,"cl"
"572","MM_004","stand","you",2,"cl"
"573","MM_004","stand","",3,"cl"
"574","MM_004","purse","bag",1,"cl"
"575","MM_004","purse","tote",2,"cl"
"576","MM_004","purse","carry",3,"cl"
"577","MM_004","daddy","father",1,"cl"
"578","MM_004","daddy","papi",2,"cl"
"579","MM_004","daddy","",3,"cl"
"580","MM_004","ankle","sprain",1,"cl"
"581","MM_004","ankle","",2,"cl"
"582","MM_004","ankle","",3,"cl"
"583","MM_004","love","red",1,"cl"
"584","MM_004","love","forever",2,"cl"
"585","MM_004","love","spread",3,"cl"
"586","MM_004","kiss","besos",1,"cl"
"587","MM_004","kiss","me",2,"cl"
"588","MM_004","kiss","cherry",3,"cl"
"589","MM_004","high","weed",1,"cl"
"590","MM_004","high","clouds",2,"cl"
"591","MM_004","high","drugs",3,"cl"
"592","MM_004","people","group",1,"cl"
"593","MM_004","people","they",2,"cl"
"594","MM_004","people","few",3,"cl"
"595","MM_004","like","",1,"cl"
"596","MM_004","like","",2,"cl"
"597","MM_004","like","",3,"cl"
"598","MM_004","mommy","mother",1,"cl"
"599","MM_004","mommy","mom",2,"cl"
"600","MM_004","mommy","mama",3,"cl"
"601","MM_004","dance","twirl",1,"cl"
"602","MM_004","dance","jigg",2,"cl"
"603","MM_004","dance","happy",3,"cl"
"604","MM_004","doctor","medicine",1,"cl"
"605","MM_004","doctor","clinical",2,"cl"
"606","MM_004","doctor","blue",3,"cl"
"607","MM_004","coke","soda",1,"cl"
"608","MM_004","coke","sugar",2,"cl"
"609","MM_004","coke","sparkly",3,"cl"
"610","MM_004","truck","vehicle",1,"cl"
"611","MM_004","truck","loud",2,"cl"
"612","MM_004","truck","big",3,"cl"
